"","merged","site","maxl","csz","size"
"millsap1","Millsap Cache_L","Millsap Cache",27.984,67.9097125561151,"L"
"millsap2","Millsap Cache_S","Millsap Cache",25.094,47.9342133377507,"S"
"millsap3","Millsap Cache_S","Millsap Cache",22.911,50.1010244012069,"S"
"millsap4","Millsap Cache_S","Millsap Cache",23.828,44.4505090802373,"S"
"millsap5","Millsap Cache_S","Millsap Cache",22.628,45.9601103005323,"S"
"millsap6","Millsap Cache_S","Millsap Cache",21.857,45.5663369125555,"S"
"millsap7","Millsap Cache_S","Millsap Cache",19.854,47.1411684358202,"S"
"millsap8","Millsap Cache_S","Millsap Cache",19.808,43.5506683072338,"S"
"millsap9","Millsap Cache_S","Millsap Cache",19.881,45.4800296949505,"S"
"millsap10","Millsap Cache_S","Millsap Cache",19.753,45.6802898537627,"S"
"millsap11","Millsap Cache_S","Millsap Cache",19.578,42.6049113307691,"S"
"millsap12","Millsap Cache_L","Millsap Cache",17.792,60.1976832120519,"L"
"millsap13","Millsap Cache_L","Millsap Cache",17.99,56.5937950416051,"L"
"millsap14","Millsap Cache_L","Millsap Cache",17.268,55.7140409032497,"L"
"millsap15","Millsap Cache_L","Millsap Cache",19.174,59.4914214250198,"L"
"millsap16","Millsap Cache_L","Millsap Cache",17.036,58.1998949663433,"L"
"millsap17","Millsap Cache_L","Millsap Cache",18.189,52.6117309965661,"L"
"millsap18","Millsap Cache_S","Millsap Cache",19.136,50.8587956563929,"S"
"millsap19","Millsap Cache_S","Millsap Cache",17.845,50.615356273355,"S"
"56","Jowell Farm_L","Jowell Farm",12.53,32.3783568223332,"L"
"63","Jowell Farm_L","Jowell Farm",12.765,32.3631812685492,"L"
"66","Jowell Farm_L","Jowell Farm",12.601,32.1498005751863,"L"
"70","Jowell Farm_L","Jowell Farm",13.813,34.3213411859779,"L"
"72","Jowell Farm_L","Jowell Farm",12.732,32.3091331053205,"L"
"74","Jowell Farm_L","Jowell Farm",12.736,31.6890079266666,"L"
"75","Jowell Farm_S","Jowell Farm",11.682,29.5933085320664,"S"
"76","Jowell Farm_S","Jowell Farm",11.05,28.1978709444098,"S"
"78","Jowell Farm_S","Jowell Farm",10.166,25.8236503053638,"S"
"79","Jowell Farm_S","Jowell Farm",10.075,25.2308463958626,"S"
"80","Jowell Farm_S","Jowell Farm",10.631,26.9047442013265,"S"
